"port_ids","npl","ii","roi","sr","mdd","wintrade","winrate","total_position","weighted_score","rank","duration_in_seconds"
"3672754654734989300","566.59765978","464556389.68989086","0.0001219653140834","0.185274477690741","-80.77703672000018","210","44.303797468354425","474","0.2208537839715819","41","5171446"
"3733192481840424000","2923.97719988","27561030313.49808","0.000010609099756506474","0.0602654376631921","-2743.12","553","80.2612481857765","689","0.2754816513597976","17","4772245"
"3784403294629754000","2521.81430468","175691878.28000665","0.0014353619127805","0.1065850660192529","-271.29198097000017","1829","30.23140495867769","6050","0.1508835794323252","104","3871800"
"3788465932399412000","13960.96645667","410605163.22272825","0.0034000952026745","0.1529121487794571","-1772.2194397900005","1369","44.60736396220268","3069","0.2385881850494491","32","5165018"
"3818233536529843700","6419.607907139999","4105763870.721018","0.0001563559938972","0.1542821925494636","-2036.5375697500008","482","33.919774806474315","1421","0.1986427338396864","59","5065241"
"3858510226868016000","-280.97295039","1347503094.6680954","-0.00002085137700252976","-0.0135582527401826","-827.30973014","243","24.397590361445783","996","0.1039116914897106","138","5010859"
"3865845304835490000","1406.06618669","879635.5332009577","0.159846451583576","0.2435747613391648","-78.66142699000001","451","51.13378684807256","882","0.2479279866156246","27","4063513"
"3878631538480067600","3921.233041160001","1398370278.2283373","0.0002804145012383","0.1560663569165343","-1039.842192440001","1415","50.337958022056206","2811","0.2344779186434563","35","5178757"
"3879821005658659300","4268.00656095","1317023575.170341","0.0003240645529369","0.1309401283182055","-1961.02986607","289","33.142201834862384","872","0.1851531698507423","71","5085775"
"3886752488982104000","7195.178324640001","9854533234.713415","0.00007301389272598304","0.2217135876666527","-38.20810000000006","931","74.5396317053643","1249","0.3176755989903525","7","4935351"
"3887577207880439000","2417.51403674","22736566.85577785","0.0106327136021666","0.0879109050720244","-577.6136464800004","2893","47.81818181818182","6050","0.1956423039110409","63","4547015"
"3891020560590657500","2856.30056379","5925.449679584022","48.20394599976618","0.4324770259531946","0","283","64.75972540045767","437","0.3220164337871316","6","242361"
"3907081197088384000","18015.99737026","9292072.497469705","0.1938856737844638","0.2227292925910829","-2060.707122380003","2540","61.39714769156394","4137","0.3116857205579876","8","5179797"
"3910983669796783000","6761.648048249999","3375487978.1442733","0.0002003161644192","0.3310388618654863","-201.72342223000032","274","42.8125","640","0.274406154597607","18","4923372"
"3914654298562589700","343.47044905000075","3963238372.610208","0.000008666409051338223","0.0109768363340103","-3893.06891877","200","41.40786749482402","483","0.1620999897291014","91","4945513"
"3919174299855478300","1456.3718076200005","16204106730.856443","0.000008987671038025963","0.0114916088452654","-9684.34458371","609","48.06629834254144","1267","0.195378166234645","64","5044331"
"3923766029921023000","772.7290318900001","5624968165.175772","0.000013737482758995374","0.0723809970250454","-205.53265760000016","359","28.51469420174742","1259","0.140157813062121","113","4707907"
"3925368433214966000","6789.436738630001","12666222556.669643","0.00005360269573863513","0.2748734037096021","-162.05753631999778","486","33.33333333333333","1458","0.2335714042580073","36","5074384"
"3926423286576838700","1309.4599595900002","9739469734.085745","0.000013444879396331127","0.0502598360114892","-1119.0932","163","34.10041841004184","478","0.1539918616255197","103","5133916"
"3930688517098516000","1947.24457347","15685631218.75441","0.000012414193259508686","0.0631148682694777","-1193.9074265099998","140","48.61111111111111","288","0.1945013644849211","65","5008441"
"3931992636670881000","10374.96528998","801789075.2302419","0.0012939768837584","0.0507962754720014","-1651.13169996","2430","40.16528925619834","6050","0.1739167761762564","80","3831027"
"3932103299427844000","3860.30970535","26911139803.1811","0.000014344653305593848","0.083322105881855","-669.4568359399998","778","30.050212437234453","2589","0.158804819559434","97","5179574"
"3935808725185052700","2301.9641228599994","10864060002.793013","0.00002118880162911649","0.0632538638680211","-1394.97143986","602","35.10204081632653","1715","0.1552527822277302","100","4319511"
"3937714876784951300","1117.5308932100006","19669062925.44266","0.000005681668198663562","0.0163144510973969","-3858.82450985","201","39.33463796477495","511","0.1615784531679272","93","5106777"
"3939318616482049000","9775.389109840002","1650610017.5758383","0.0005922288733105","0.2038294609803743","-87.00335997999991","118","37.46031746031746","315","0.2259587427186836","40","5131163"
"3939925275039085600","2378.8786707","52338975.68353014","0.0045451379963643","0.2259532814259804","-78.62181990000008","2148","36.23481781376518","5928","0.2174972110589998","44","5174120"
"3942630767220672500","6611.89848042","3038370835.61877","0.0002176132815293","0.0679796900177537","-6083.72668798","1903","38.29744415375327","4969","0.1912873140088674","66","5122765"
"3943533600390907000","2361.42457205","594410426.5889647","0.0003972717278196","0.4280792022224672","-32.30352141000003","964","54.80386583285958","1759","0.3297967700682119","5","5078415"
"3944088772635001000","7581.491983399999","1737008128.54415","0.0004364684228481","0.2991410762565205","-97.2037250300009","2774","45.75292759360053","6063","0.2425600887470377","29","1874979"
"3944239644144231400","-1187.8909756799994","15820642849.276562","-0.000007508487404696825","-0.0237313142557885","-5867.434541539999","227","26.45687645687645","858","0.1174157602256793","131","5169707"
